
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2000.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep   10/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 0.0000 | ε: 0.996
Ep 1650/3000 | Avg_Score:     35 | Avg_Pieces: 39 | Avg_Lines: 3 | Avg_Loss: 651.5876 | ε: 0.217
Ep 1660/3000 | Avg_Score:     69 | Avg_Pieces: 42 | Avg_Lines: 4 | Avg_Loss: 601.2058 | ε: 0.212
Ep 1670/3000 | Avg_Score:     57 | Avg_Pieces: 42 | Avg_Lines: 4 | Avg_Loss: 726.0041 | ε: 0.207
Ep 1680/3000 | Avg_Score:     48 | Avg_Pieces: 38 | Avg_Lines: 3 | Avg_Loss: 646.8504 | ε: 0.202
Ep 1690/3000 | Avg_Score:     34 | Avg_Pieces: 36 | Avg_Lines: 2 | Avg_Loss: 566.3701 | ε: 0.198
Ep 1700/3000 | Avg_Score:     22 | Avg_Pieces: 35 | Avg_Lines: 2 | Avg_Loss: 544.9466 | ε: 0.193
Ep 1710/3000 | Avg_Score:     42 | Avg_Pieces: 36 | Avg_Lines: 2 | Avg_Loss: 582.1972 | ε: 0.188
Ep 1720/3000 | Avg_Score:     57 | Avg_Pieces: 39 | Avg_Lines: 4 | Avg_Loss: 543.5787 | ε: 0.183
Ep 1730/3000 | Avg_Score:     76 | Avg_Pieces: 39 | Avg_Lines: 4 | Avg_Loss: 567.6943 | ε: 0.179
New best score: 299 (< 1000, chưa lưu file)
Ep 1740/3000 | Avg_Score:     86 | Avg_Pieces: 46 | Avg_Lines: 5 | Avg_Loss: 416.3970 | ε: 0.174
Ep 1750/3000 | Avg_Score:     66 | Avg_Pieces: 43 | Avg_Lines: 4 | Avg_Loss: 548.1312 | ε: 0.169
Ep 1760/3000 | Avg_Score:     62 | Avg_Pieces: 44 | Avg_Lines: 4 | Avg_Loss: 590.3550 | ε: 0.164
Ep 1770/3000 | Avg_Score:     45 | Avg_Pieces: 39 | Avg_Lines: 3 | Avg_Loss: 611.5743 | ε: 0.160
Ep 1780/3000 | Avg_Score:     40 | Avg_Pieces: 40 | Avg_Lines: 3 | Avg_Loss: 546.0861 | ε: 0.155
