
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep 1270/3000 | Avg_Score:      4 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 305.5081 | ε: 0.569
Ep 1280/3000 | Avg_Score:      1 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 270.1705 | ε: 0.566
Ep 1290/3000 | Avg_Score:      1 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 348.7489 | ε: 0.563
Ep 1300/3000 | Avg_Score:      3 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 340.6564 | ε: 0.559
Ep 1310/3000 | Avg_Score:      4 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 329.8034 | ε: 0.556
Ep 1320/3000 | Avg_Score:      4 | Avg_Pieces: 23 | Avg_Lines: 0 | Avg_Loss: 337.3762 | ε: 0.552
Ep 1330/3000 | Avg_Score:      3 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 317.5041 | ε: 0.549
New best score: 91 (< 1000, chưa lưu file)
Ep 1340/3000 | Avg_Score:     12 | Avg_Pieces: 28 | Avg_Lines: 1 | Avg_Loss: 368.9960 | ε: 0.546
Ep 1350/3000 | Avg_Score:      4 | Avg_Pieces: 29 | Avg_Lines: 0 | Avg_Loss: 382.6177 | ε: 0.542
Ep 1360/3000 | Avg_Score:      0 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 382.4272 | ε: 0.539
Ep 1370/3000 | Avg_Score:      1 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 385.0847 | ε: 0.536
Ep 1380/3000 | Avg_Score:     11 | Avg_Pieces: 28 | Avg_Lines: 1 | Avg_Loss: 385.1595 | ε: 0.532
Ep 1390/3000 | Avg_Score:      4 | Avg_Pieces: 30 | Avg_Lines: 0 | Avg_Loss: 391.2074 | ε: 0.529
Ep 1400/3000 | Avg_Score:      2 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 405.4785 | ε: 0.525
Ep 1410/3000 | Avg_Score:      4 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 350.6692 | ε: 0.522
Ep 1420/3000 | Avg_Score:      1 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 311.2356 | ε: 0.519
Ep 1430/3000 | Avg_Score:      3 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 341.6151 | ε: 0.515
Ep 1440/3000 | Avg_Score:      3 | Avg_Pieces: 30 | Avg_Lines: 0 | Avg_Loss: 313.3313 | ε: 0.512
Ep 1450/3000 | Avg_Score:      3 | Avg_Pieces: 29 | Avg_Lines: 0 | Avg_Loss: 360.6813 | ε: 0.508
Ep 1460/3000 | Avg_Score:      2 | Avg_Pieces: 30 | Avg_Lines: 0 | Avg_Loss: 399.5535 | ε: 0.505
Ep 1470/3000 | Avg_Score:      1 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 369.9088 | ε: 0.502
Ep 1480/3000 | Avg_Score:     14 | Avg_Pieces: 31 | Avg_Lines: 1 | Avg_Loss: 412.8115 | ε: 0.498
Ep 1490/3000 | Avg_Score:      2 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 357.2488 | ε: 0.495
Ep 1500/3000 | Avg_Score:      6 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 355.4924 | ε: 0.491
Ep 1510/3000 | Avg_Score:      6 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 375.3362 | ε: 0.488
Ep 1520/3000 | Avg_Score:      5 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 320.1002 | ε: 0.485
Ep 1530/3000 | Avg_Score:      2 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 349.0742 | ε: 0.481
Ep 1540/3000 | Avg_Score:     10 | Avg_Pieces: 31 | Avg_Lines: 1 | Avg_Loss: 358.3533 | ε: 0.478
Ep 1550/3000 | Avg_Score:      6 | Avg_Pieces: 30 | Avg_Lines: 0 | Avg_Loss: 380.0202 | ε: 0.474
Ep 1560/3000 | Avg_Score:      3 | Avg_Pieces: 29 | Avg_Lines: 0 | Avg_Loss: 304.9365 | ε: 0.471
Ep 1570/3000 | Avg_Score:     15 | Avg_Pieces: 32 | Avg_Lines: 1 | Avg_Loss: 387.2467 | ε: 0.468
Ep 1580/3000 | Avg_Score:     11 | Avg_Pieces: 30 | Avg_Lines: 1 | Avg_Loss: 355.2230 | ε: 0.464
Ep 1590/3000 | Avg_Score:      3 | Avg_Pieces: 31 | Avg_Lines: 0 | Avg_Loss: 335.0943 | ε: 0.461
